Date,log_returns,State,SPX
1941-04-18,-2.0350795003063604,1,9.4
1941-04-19,-0.2940718903452776,0,9.38
1941-04-21,-0.15147028851925773,0,9.37
1941-04-22,-0.7575235915187705,0,9.32
1941-04-23,1.5774429476810892,0,9.43
1941-04-24,0.5649493342077827,0,9.47
1941-04-25,-0.9840401733966967,0,9.4
1941-04-26,-0.14329867028688464,0,9.39
1941-04-28,0.42639847093778466,0,9.42
1941-04-29,0.28344507732350055,0,9.44
1941-04-30,-1.7954060706313142,0,9.31
1941-05-01,-0.13911811431154364,0,9.3
1941-05-02,0.4263446726084797,0,9.33
1941-05-03,0.28385525827336006,0,9.35
1941-05-05,-0.14181256831838493,0,9.34
1941-05-06,2.0608385013081025,0,9.5
1941-05-07,-0.3842104236356723,0,9.47
1941-05-08,-0.2590541333734372,0,9.45
1941-05-09,0.0,0,9.45
1941-05-10,1.8029308155881354,0,9.59
1941-05-12,-0.38407632105268336,0,9.56
1941-05-13,0.0,0,9.56
1941-05-14,-1.0010140920696688,0,9.49
1941-05-15,-2.2609609922834513,0,9.33
1941-05-16,0.2837461064844388,0,9.35
1941-05-17,0.4313547045473022,0,9.38
1941-05-19,0.28677888174486416,0,9.4
1941-05-20,2.089418488541915,0,9.56
1941-05-21,-0.12953180965662622,0,9.55
1941-05-22,-1.3961164280462788,0,9.44
1941-05-23,0.0,0,9.44
1941-05-24,0.13526266976567863,0,9.45
1941-05-26,-1.5624122604996575,0,9.33
1941-05-27,0.7814481980301318,0,9.39
1941-05-28,0.0,0,9.39
1941-05-29,-0.13540556005491328,0,9.38
1941-05-31,-0.4120113526215207,0,9.35
1941-06-02,0.13745965052025721,0,9.36
1941-06-03,1.451309190348387,0,9.47
1941-06-04,-0.13132951323035852,0,9.46
1941-06-05,0.5529004662369362,0,9.5
1941-06-06,-0.13800961316296365,0,9.49
1941-06-07,1.0834035151723849,0,9.57
1941-06-09,1.1847829876937381,0,9.66
1941-06-10,1.9631651021938858,0,9.82
1941-06-11,0.0,0,9.82
1941-06-12,0.6474250519986152,0,9.87
1941-06-13,-0.25861848992746594,0,9.85
1941-06-14,-0.2584488912082501,0,9.83
1941-06-16,-0.27282379478694696,0,9.81
1941-06-17,1.0764142193982715,0,9.89
1941-06-18,0.13399187235893423,0,9.9
1941-06-19,-0.2734140860905548,0,9.88
1941-06-20,-1.738378866670625,0,9.76
1941-06-21,0.43628318076293726,0,9.79
1941-06-23,2.154338005249055,0,9.95
1941-06-24,-0.9165397509952381,0,9.88
1941-06-25,0.28289315176153285,0,9.9
1941-06-26,0.5636060691888624,0,9.94
1941-06-27,-0.7372826125267944,0,9.89
1941-06-28,-0.14767913363446403,0,9.88
1941-06-30,-0.4407062794912729,0,9.85
1941-07-01,-0.4748281743794128,0,9.82
1941-07-02,1.1024768274748387,0,9.89
1941-07-03,0.3139573068530291,0,9.91
1941-07-05,0.15724707281044123,0,9.92
1941-07-07,2.4609588162854203,0,10.09
1941-07-08,2.4884977231757808,0,10.28
1941-07-09,0.0,0,10.28
1941-07-10,0.39899192539574274,0,10.31
1941-07-11,-0.39518957266416976,0,10.28
1941-07-12,0.13231833450678981,0,10.29
1941-07-14,0.13353155330535854,0,10.3
1941-07-15,0.4063486656594763,0,10.33
1941-07-16,-0.7193585156665298,0,10.28
1941-07-17,-0.9885833551325837,0,10.21
1941-07-18,0.567272565899831,0,10.25
1941-07-19,0.8442990565204518,0,10.31
1941-07-21,1.987817175075901,0,10.46
1941-07-22,-0.13196578033022488,0,10.45
1941-07-23,-0.3986761988771308,0,10.42
1941-07-24,-0.7867413538040374,0,10.36
1941-07-25,-0.2633128919227814,0,10.34
1941-07-26,0.7007253170307646,0,10.39
1941-07-28,1.102400391041275,0,10.47
1941-07-29,-0.2954066939816787,0,10.45
1941-07-30,-0.7517195443806582,0,10.4
1941-07-31,-0.15034869354363686,0,10.39
1941-08-01,-0.7436812604089423,0,10.34
1941-08-02,-0.30224049774069256,0,10.32
1941-08-04,0.6040742713493292,0,10.36
1941-08-05,0.0,0,10.36
1941-08-06,0.0,0,10.36
1941-08-07,-0.3091441679314021,0,10.34
1941-08-08,-1.6125624543442814,0,10.23
1941-08-09,-1.1496140385785028,0,10.15
1941-08-11,-0.16141709514288263,0,10.14
1941-08-12,0.0,0,10.14
1941-08-13,-0.9739365096559135,0,10.09
1941-08-14,0.7751764346603689,0,10.13
1941-08-15,-1.8482483306748143,0,10.03
1941-08-16,0.7329836136950414,0,10.07
1941-08-18,1.0689006103917313,0,10.13
1941-08-19,0.17850757943716244,0,10.14
1941-08-20,0.7121695225151747,0,10.18
1941-08-21,-0.1822611386095311,0,10.17
1941-08-22,-0.36815244113447443,0,10.15
1941-08-23,0.18842514566152682,0,10.16
1941-08-25,0.22283721094652306,0,10.17
1941-08-26,1.6684545065139125,0,10.25
1941-08-27,0.2081045280426447,0,10.26
1941-08-28,0.63228830978778,0,10.29
1941-08-29,-0.2109650289872979,0,10.28
1941-08-30,0.4290621614674286,0,10.3
1941-09-02,0.8911470643699169,0,10.34
1941-09-03,-1.5108289415138516,0,10.27
1941-09-04,-0.6576426077016353,0,10.24
1941-09-05,-0.65642534203987,0,10.21
1941-09-06,0.22224391735610768,0,10.22
1941-09-08,0.22218601056244597,0,10.23
1941-09-09,-0.6743647693789002,0,10.2
1941-09-10,-1.7285385642550846,1,10.12
1941-09-11,2.152332212573836,1,10.23
1941-09-12,0.0,1,10.23
1941-09-13,0.42154952261360706,1,10.25
1941-09-15,-0.22224638268909186,1,10.24
1941-09-16,1.09148897789873,1,10.29
1941-09-17,3.200752567806324,1,10.47
1941-09-18,-1.383597262912689,1,10.39
1941-09-19,-1.655631671287072,1,10.29
1941-09-20,-0.6996164440896642,1,10.25
1941-09-22,0.5266719116198595,1,10.28
1941-09-23,0.7068113531534211,1,10.32
1941-09-24,-1.2028659962325656,1,10.25
1941-09-25,-2.0929628793744044,1,10.12
1941-09-26,-0.4852516829242411,0,10.09
1941-09-27,0.6426318442131276,0,10.13
1941-09-29,0.0,0,10.13
1941-09-30,1.09615291923132,0,10.2
1941-10-01,-0.4804283316194144,0,10.17
1941-10-02,-0.4807004144674841,0,10.14
1941-10-03,-0.16137108900589744,0,10.13
1941-10-04,0.0,0,10.13
1941-10-06,-0.16197345524229212,0,10.12
1941-10-07,-1.8711169143743336,1,10.0
